alpha,epsilon,tau,lambda,data_model_type,data_model_name,problem_type
4.25000000,0.32500000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
5.00000000,0.28750000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,3.14722222,0.00000000,-0.00001000,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,3.50000000,0.00000000,-0.00001000,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,2.79444444,0.00000000,-0.00001000,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,2.44166667,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,2.08888889,0.00000000,0.00002205,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,1.73611111,0.00000000,-0.00000995,VanillaGaussian,VanillaGaussian,Logistic
4.25000000,0.28750000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
5.00000000,0.25000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.35000000,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.34444444,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.34722222,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.34166667,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.33888889,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.33333333,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.33611111,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32777778,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.33055556,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32522222,0.00000000,0.00006617,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32588889,0.00000000,0.00003538,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32566667,0.00000000,0.00004565,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32611111,0.00000000,0.00002511,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32633333,0.00000000,0.00001484,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32655556,0.00000000,0.00000453,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32677778,0.00000000,-0.00000573,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32544444,0.00000000,0.00005591,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32700000,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32540000,0.00000000,0.00005796,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32520000,0.00000000,0.00006720,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32590000,0.00000000,0.00003487,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32570000,0.00000000,0.00004411,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32610000,0.00000000,0.00002562,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32630000,0.00000000,0.00001638,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32660000,0.00000000,0.00000247,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32680000,0.00000000,-0.00000675,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32650000,0.00000000,0.00000716,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32650000,0.00000000,0.00000716,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32650000,0.00000000,0.00000716,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32670000,0.00000000,-0.00000216,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32750000,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
0.10000000,0.00000000,0.00000000,0.05798078,VanillaGaussian,VanillaGaussian,Logistic
0.52142857,0.00000000,0.00000000,0.04409832,VanillaGaussian,VanillaGaussian,Logistic
0.10000000,0.10000000,0.00000000,0.05777798,VanillaGaussian,VanillaGaussian,Logistic
0.52142857,0.10000000,0.00000000,0.04474153,VanillaGaussian,VanillaGaussian,Logistic
0.10000000,0.20000000,0.00000000,41.06243378,VanillaGaussian,VanillaGaussian,Logistic
0.94285714,0.00000000,0.00000000,0.03284877,VanillaGaussian,VanillaGaussian,Logistic
0.52142857,0.20000000,0.00000000,0.04494766,VanillaGaussian,VanillaGaussian,Logistic
1.36428571,0.00000000,0.00000000,0.02453923,VanillaGaussian,VanillaGaussian,Logistic
0.52140000,0.00000000,0.00000000,0.04409917,VanillaGaussian,VanillaGaussian,Logistic
0.94290000,0.00000000,0.00000000,0.03284778,VanillaGaussian,VanillaGaussian,Logistic
1.36430000,0.00000000,0.00000000,0.02453898,VanillaGaussian,VanillaGaussian,Logistic
0.52140000,0.20000000,0.00000000,0.04494854,VanillaGaussian,VanillaGaussian,Logistic
1.78570000,0.00000000,0.00000000,0.01859837,VanillaGaussian,VanillaGaussian,Logistic
0.52140000,0.10000000,0.00000000,0.04474238,VanillaGaussian,VanillaGaussian,Logistic
0.94290000,0.10000000,0.00000000,0.03350435,VanillaGaussian,VanillaGaussian,Logistic
2.20710000,0.00000000,0.00000000,0.01435976,VanillaGaussian,VanillaGaussian,Logistic
2.62860000,0.00000000,0.00000000,0.01130304,VanillaGaussian,VanillaGaussian,Logistic
0.94290000,0.20000000,0.00000000,0.03339744,VanillaGaussian,VanillaGaussian,Logistic
3.05000000,0.00000000,0.00000000,0.00906383,VanillaGaussian,VanillaGaussian,Logistic
1.36430000,0.10000000,0.00000000,0.02509818,VanillaGaussian,VanillaGaussian,Logistic
1.36430000,0.20000000,0.00000000,0.02461207,VanillaGaussian,VanillaGaussian,Logistic
1.78570000,0.20000000,0.00000000,0.01816985,VanillaGaussian,VanillaGaussian,Logistic
2.20710000,0.10000000,0.00000000,0.01465331,VanillaGaussian,VanillaGaussian,Logistic
2.20710000,0.20000000,0.00000000,0.01345624,VanillaGaussian,VanillaGaussian,Logistic
2.62860000,0.10000000,0.00000000,0.01147376,VanillaGaussian,VanillaGaussian,Logistic
1.78570000,0.10000000,0.00000000,0.01902502,VanillaGaussian,VanillaGaussian,Logistic
3.47140000,0.00000000,0.00000000,0.00739313,VanillaGaussian,VanillaGaussian,Logistic
3.89290000,0.00000000,0.00000000,0.00612347,VanillaGaussian,VanillaGaussian,Logistic
3.05000000,0.10000000,0.00000000,0.00912431,VanillaGaussian,VanillaGaussian,Logistic
4.31430000,0.00000000,0.00000000,0.00514215,VanillaGaussian,VanillaGaussian,Logistic
2.62860000,0.20000000,0.00000000,0.00996913,VanillaGaussian,VanillaGaussian,Logistic
4.73570000,0.00000000,0.00000000,0.00437099,VanillaGaussian,VanillaGaussian,Logistic
3.47140000,0.10000000,0.00000000,0.00735636,VanillaGaussian,VanillaGaussian,Logistic
5.15710000,0.00000000,0.00000000,0.00375611,VanillaGaussian,VanillaGaussian,Logistic
3.05000000,0.20000000,0.00000000,0.00734682,VanillaGaussian,VanillaGaussian,Logistic
3.89290000,0.10000000,0.00000000,0.00599982,VanillaGaussian,VanillaGaussian,Logistic
5.57860000,0.00000000,0.00000000,0.00325886,VanillaGaussian,VanillaGaussian,Logistic
4.31430000,0.10000000,0.00000000,0.00494096,VanillaGaussian,VanillaGaussian,Logistic
6.00000000,0.00000000,0.00000000,0.00285198,VanillaGaussian,VanillaGaussian,Logistic
3.47140000,0.20000000,0.00000000,0.00534336,VanillaGaussian,VanillaGaussian,Logistic
4.73570000,0.10000000,0.00000000,0.00410037,VanillaGaussian,VanillaGaussian,Logistic
3.89290000,0.20000000,0.00000000,0.00379350,VanillaGaussian,VanillaGaussian,Logistic
5.57860000,0.10000000,0.00000000,0.00286858,VanillaGaussian,VanillaGaussian,Logistic
4.31430000,0.20000000,0.00000000,0.00258835,VanillaGaussian,VanillaGaussian,Logistic
5.15710000,0.10000000,0.00000000,0.00342251,VanillaGaussian,VanillaGaussian,Logistic
6.00000000,0.10000000,0.00000000,0.00241003,VanillaGaussian,VanillaGaussian,Logistic
4.73570000,0.20000000,0.00000000,0.00165230,VanillaGaussian,VanillaGaussian,Logistic
5.15710000,0.20000000,0.00000000,0.00092915,VanillaGaussian,VanillaGaussian,Logistic
5.57860000,0.20000000,0.00000000,0.00037120,VanillaGaussian,VanillaGaussian,Logistic
6.00000000,0.20000000,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian,Logistic
0.50000000,0.00000000,0.00000000,0.05462207,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.50000000,0.40000000,0.00000000,0.05922356,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.50000000,0.20000000,0.00000000,0.05708131,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.50000000,0.60000000,0.00000000,0.06095232,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.50000000,0.80000000,0.00000000,0.06216256,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
5.25000000,0.00000000,0.00000000,0.04596681,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
10.00000000,0.00000000,0.00000000,0.03013145,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
5.25000000,0.20000000,0.00000000,0.04511132,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
5.25000000,0.40000000,0.00000000,0.03930531,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
5.25000000,0.60000000,0.00000000,0.02763114,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
10.00000000,0.20000000,0.00000000,0.02727367,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
5.25000000,0.80000000,0.00000000,0.01072639,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
10.00000000,0.40000000,0.00000000,0.01681146,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
10.00000000,0.80000000,0.00000000,-0.00000999,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.50000000,0.00000000,0.00000000,0.00012883,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
0.50000000,0.80000000,0.00000000,0.01715378,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
0.50000000,0.60000000,0.00000000,0.01021613,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
5.25000000,0.00000000,0.00000000,0.00252201,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
0.50000000,0.20000000,0.00000000,0.00096255,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
0.50000000,0.40000000,0.00000000,0.00408229,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
5.25000000,0.20000000,0.00000000,0.00488616,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
5.25000000,0.40000000,0.00000000,0.00449327,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
10.00000000,0.00000000,0.00000000,0.00106793,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
5.25000000,0.60000000,0.00000000,0.00165273,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
10.00000000,0.20000000,0.00000000,0.00142428,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
10.00000000,0.40000000,0.00000000,0.00060921,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
5.25000000,0.80000000,0.00000000,0.00025284,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
0.50000000,0.20000000,0.00000000,0.29648029,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
0.50000000,0.00000000,0.00000000,0.30007679,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
0.50000000,0.20000000,0.00000000,0.29648029,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
0.50000000,0.00000000,0.00000000,0.30007679,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
0.50000000,0.40000000,0.00000000,0.29061773,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
0.50000000,0.40000000,0.00000000,0.29061773,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
0.50000000,0.60000000,0.00000000,0.28251089,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
0.50000000,0.60000000,0.00000000,0.28251089,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
0.50000000,0.80000000,0.00000000,0.27219651,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
0.50000000,0.80000000,0.00000000,0.27219651,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
5.25000000,0.00000000,0.00000000,0.32836654,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
5.25000000,0.00000000,0.00000000,0.32836654,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
10.00000000,0.00000000,0.00000000,0.20580798,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
10.00000000,0.00000000,0.00000000,0.20580798,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
5.25000000,0.20000000,0.00000000,0.25289332,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
5.25000000,0.20000000,0.00000000,0.25289332,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
5.25000000,0.40000000,0.00000000,0.17813097,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
5.25000000,0.40000000,0.00000000,0.17813097,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
5.25000000,0.60000000,0.00000000,0.10327286,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
5.25000000,0.60000000,0.00000000,0.10327286,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
10.00000000,0.80000000,0.00000000,-0.00000999,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
10.00000000,0.20000000,0.00000000,0.13241975,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
10.00000000,0.20000000,0.00000000,0.13241975,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
5.25000000,0.80000000,0.00000000,0.03109007,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
5.25000000,0.80000000,0.00000000,0.03109007,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
10.00000000,0.40000000,0.00000000,0.06136371,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
10.00000000,0.40000000,0.00000000,0.06136371,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
10.00000000,0.80000000,0.00000000,-0.00000999,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
10.00000000,0.80000000,0.00000000,-0.00000999,SourceCapacity,SourceCapacity_PowerLawStudentPriorCorrect,Logistic
0.50000000,0.25000000,0.00000000,0.04553066,VanillaGaussian,VanillaGaussian,Logistic
0.50000000,0.50000000,0.00000000,0.04293277,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.25000000,0.00000000,0.01440730,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.50000000,0.00000000,0.00164785,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.00000000,0.00000000,0.00192180,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
2.00000000,0.25000000,0.00000000,0.01033619,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
0.50000000,0.50000000,0.00000000,0.00687895,SourceCapacity,SourceCapacity_PowerLawStudentPrior,Logistic
0.50000000,0.25000000,0.00000000,0.05765071,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
2.00000000,0.00000000,0.00000000,0.05805915,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.50000000,0.50000000,0.00000000,0.06014590,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
2.00000000,0.25000000,0.00000000,0.05980892,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
2.00000000,0.50000000,0.00000000,0.05831214,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.50000000,0.00000000,0.00000000,0.05462201,SourceCapacity,SourceCapacity_IDStudentPriorFirstFeatureSigmaDelta,Logistic
0.50000000,0.00000000,0.00000000,0.05462201,SourceCapacity,SourceCapacity_IDStudentPriorStrongFirstFeatureSigmaDelta,Logistic
0.50000000,0.60000000,0.00000000,0.09247622,SourceCapacity,SourceCapacity_IDStudentPriorStrongFirstFeatureSigmaDelta,Logistic
0.50000000,0.20000000,0.00000000,0.26534616,SourceCapacity,SourceCapacity_IDStudentPriorStrongFirstFeatureSigmaDelta,Logistic
2.00000000,0.00000000,0.00000000,0.05805915,SourceCapacity,SourceCapacity_IDStudentPriorFirstFeatureSigmaDelta,Logistic
0.50000000,0.60000000,0.00000000,0.06291869,SourceCapacity,SourceCapacity_IDStudentPriorFirstFeatureSigmaDelta,Logistic
2.00000000,0.00000000,0.00000000,0.05805915,SourceCapacity,SourceCapacity_IDStudentPriorStrongFirstFeatureSigmaDelta,Logistic
2.00000000,0.40000000,0.00000000,0.26157150,SourceCapacity,SourceCapacity_IDStudentPriorStrongFirstFeatureSigmaDelta,Logistic
2.00000000,0.20000000,0.00000000,0.31550198,SourceCapacity,SourceCapacity_IDStudentPriorStrongFirstFeatureSigmaDelta,Logistic
0.50000000,0.20000000,0.00000000,0.05733405,SourceCapacity,SourceCapacity_IDStudentPriorFirstFeatureSigmaDelta,Logistic
0.50000000,0.40000000,0.00000000,0.06003547,SourceCapacity,SourceCapacity_IDStudentPriorFirstFeatureSigmaDelta,Logistic
2.00000000,0.60000000,0.00000000,0.06507030,SourceCapacity,SourceCapacity_IDStudentPriorFirstFeatureSigmaDelta,Logistic
2.00000000,0.40000000,0.00000000,0.06266368,SourceCapacity,SourceCapacity_IDStudentPriorFirstFeatureSigmaDelta,Logistic
2.00000000,0.20000000,0.00000000,0.06029720,SourceCapacity,SourceCapacity_IDStudentPriorFirstFeatureSigmaDelta,Logistic
10.00000000,0.20000000,0.00000000,0.31701014,SourceCapacity,SourceCapacity_IDStudentPriorStrongFirstFeatureSigmaDelta,Logistic
10.00000000,0.20000000,0.00000000,0.03140185,SourceCapacity,SourceCapacity_IDStudentPriorFirstFeatureSigmaDelta,Logistic
1.39460000,0.00000000,0.00000000,0.02404163,VanillaGaussian,VanillaGaussian,Logistic
1.94490000,0.00000000,0.00000000,0.01682878,VanillaGaussian,VanillaGaussian,Logistic
2.71230000,0.00000000,0.00000000,0.01080261,VanillaGaussian,VanillaGaussian,Logistic
1.39460000,0.10000000,0.00000000,0.02459124,VanillaGaussian,VanillaGaussian,Logistic
1.39460000,0.20000000,0.00000000,0.02407856,VanillaGaussian,VanillaGaussian,Logistic
1.94490000,0.10000000,0.00000000,0.01720430,VanillaGaussian,VanillaGaussian,Logistic
1.94490000,0.20000000,0.00000000,0.01621625,VanillaGaussian,VanillaGaussian,Logistic
2.71230000,0.10000000,0.00000000,0.01095039,VanillaGaussian,VanillaGaussian,Logistic
2.71230000,0.20000000,0.00000000,0.00938899,VanillaGaussian,VanillaGaussian,Logistic
5.27500000,0.00000000,0.00000000,0.00360651,VanillaGaussian,VanillaGaussian,Logistic
3.78250000,0.10000000,0.00000000,0.00632267,VanillaGaussian,VanillaGaussian,Logistic
3.78250000,0.20000000,0.00000000,0.00416244,VanillaGaussian,VanillaGaussian,Logistic
7.35640000,0.10000000,0.00000000,0.00137092,VanillaGaussian,VanillaGaussian,Logistic
3.78250000,0.00000000,0.00000000,0.00642429,VanillaGaussian,VanillaGaussian,Logistic
7.35640000,0.00000000,0.00000000,0.00194897,VanillaGaussian,VanillaGaussian,Logistic
1.29150000,0.00000000,0.00000000,0.02578513,VanillaGaussian,VanillaGaussian,Logistic
1.66810000,0.00000000,0.00000000,0.02005866,VanillaGaussian,VanillaGaussian,Logistic
2.15440000,0.00000000,0.00000000,0.01481612,VanillaGaussian,VanillaGaussian,Logistic
2.78260000,0.00000000,0.00000000,0.01040525,VanillaGaussian,VanillaGaussian,Logistic
1.66810000,0.10000000,0.00000000,0.02052300,VanillaGaussian,VanillaGaussian,Logistic
1.29150000,0.10000000,0.00000000,0.02636556,VanillaGaussian,VanillaGaussian,Logistic
3.59380000,0.00000000,0.00000000,0.00698889,VanillaGaussian,VanillaGaussian,Logistic
1.29150000,0.20000000,0.00000000,0.02594509,VanillaGaussian,VanillaGaussian,Logistic
1.66810000,0.20000000,0.00000000,0.01976857,VanillaGaussian,VanillaGaussian,Logistic
2.15440000,0.10000000,0.00000000,0.01512579,VanillaGaussian,VanillaGaussian,Logistic
2.15440000,0.20000000,0.00000000,0.01396949,VanillaGaussian,VanillaGaussian,Logistic
4.64160000,0.00000000,0.00000000,0.00452797,VanillaGaussian,VanillaGaussian,Logistic
2.78260000,0.10000000,0.00000000,0.01053419,VanillaGaussian,VanillaGaussian,Logistic
2.78260000,0.20000000,0.00000000,0.00892559,VanillaGaussian,VanillaGaussian,Logistic
3.59380000,0.10000000,0.00000000,0.00692592,VanillaGaussian,VanillaGaussian,Logistic
5.99480000,0.00000000,0.00000000,0.00285655,VanillaGaussian,VanillaGaussian,Logistic
3.59380000,0.20000000,0.00000000,0.00485220,VanillaGaussian,VanillaGaussian,Logistic
4.64160000,0.10000000,0.00000000,0.00427229,VanillaGaussian,VanillaGaussian,Logistic
7.74260000,0.00000000,0.00000000,0.00176879,VanillaGaussian,VanillaGaussian,Logistic
5.99480000,0.10000000,0.00000000,0.00241520,VanillaGaussian,VanillaGaussian,Logistic
4.64160000,0.20000000,0.00000000,0.00184107,VanillaGaussian,VanillaGaussian,Logistic
7.74260000,0.10000000,0.00000000,0.00115968,VanillaGaussian,VanillaGaussian,Logistic
10.00000000,0.10000000,0.00000000,0.00035695,VanillaGaussian,VanillaGaussian,Logistic
5.99480000,0.20000000,0.00000000,0.00001001,VanillaGaussian,VanillaGaussian,Logistic
0.31620000,0.00000000,0.00000000,0.05063911,VanillaGaussian,VanillaGaussian,Logistic
0.44100000,0.00000000,0.00000000,0.04657542,VanillaGaussian,VanillaGaussian,Logistic
0.31620000,0.10000000,0.00000000,0.05108473,VanillaGaussian,VanillaGaussian,Logistic
0.31620000,0.20000000,0.00000000,0.05137438,VanillaGaussian,VanillaGaussian,Logistic
0.44100000,0.10000000,0.00000000,0.04718438,VanillaGaussian,VanillaGaussian,Logistic
0.61500000,0.00000000,0.00000000,0.04135849,VanillaGaussian,VanillaGaussian,Logistic
0.85770000,0.00000000,0.00000000,0.03487635,VanillaGaussian,VanillaGaussian,Logistic
0.44100000,0.20000000,0.00000000,0.04743145,VanillaGaussian,VanillaGaussian,Logistic
